trial_order,participant_ID,stim_id,condition,freq_category,word,subtlex_log10freq,stim_duration,start_time,end_time,key,reaction_time,accuracy,age,sex
119,12,158,nw,NW,rufel,0.0,0.5402267573696146,317.7918986000004,319.0934771000175,z,1.301578500017058,0,32,male
120,12,90,rw,HF,wist,4.4149,0.5760997732426304,320.64163910003845,321.5776927000261,z,0.9360535999876448,1,32,male
121,12,49,rw,LF,bonkte,0.9542,0.4835600907029478,323.1231103000464,324.16501350002363,z,1.0419031999772417,1,32,male
122,12,175,nw,NW,nergen,0.0,0.5445804988662132,325.7056703999988,327.45767790003447,m,1.7520075000356885,1,32,male
123,12,66,rw,HF,wakker,3.9448,0.4293424036281179,329.00450249999994,329.7642414000002,z,0.7597389000002295,1,32,male
124,12,43,rw,LF,stengels,0.8451,0.7586621315192744,331.30365330004133,332.2372259000549,z,0.9335726000135764,1,32,male
125,12,181,nw,NW,herken,0.0,0.5039455782312925,333.7862025000504,334.951113200048,z,1.164910699997563,0,32,male
126,12,11,rw,LF,stekken,0.301,0.4987074829931973,336.50228500005323,338.2005255999975,z,1.6982405999442562,1,32,male
127,12,20,rw,LF,schoffels,0.6021,0.7928571428571428,339.7507307000342,341.0336041999981,m,1.2828734999638982,0,32,male
128,12,170,nw,NW,moksen,0.0,0.514172335600907,342.58320500003174,343.5879651000141,m,1.0047600999823771,1,32,male
129,12,115,nw,NW,liek,0.0,0.4517687074829932,345.1323580000317,346.3670250000432,m,1.234667000011541,1,32,male
130,12,196,nw,NW,rokan,0.0,0.6312244897959184,347.91476870002225,349.24323240004014,m,1.3284637000178918,1,32,male
131,12,16,rw,LF,snert,0.4771,0.6224489795918368,350.7805331000127,351.71190809999825,z,0.9313749999855644,1,32,male
132,12,182,nw,NW,hormen,0.0,0.3752380952380952,353.2629586000112,354.12462630000664,m,0.8616676999954507,1,32,male
133,12,75,rw,HF,vroeg,4.1163,0.5487074829931973,355.66213770001195,356.46496680000564,z,0.8028290999936871,1,32,male
134,12,50,rw,LF,gisten,0.9542,0.5466213151927438,358.0128498999984,358.9006429000292,z,0.887793000030797,1,32,male
135,12,124,nw,NW,vebras,0.0,0.8917233560090703,360.4438888000441,361.7166729000164,m,1.2727840999723412,1,32,male
136,12,45,rw,LF,grief,0.9031,0.5177777777777778,363.2598910000525,364.3467100000125,m,1.0868189999600872,0,32,male
137,12,151,nw,NW,plirken,0.0,0.5466893424036281,365.892401900026,366.7342158000101,m,0.8418138999841176,1,32,male
138,12,104,nw,NW,goont,0.0,0.6195918367346939,368.274618800031,369.5007377000293,m,1.226118899998255,1,32,male
139,12,3,rw,LF,imams,0.301,0.653968253968254,371.04082660004497,371.8479424000252,z,0.8071157999802381,1,32,male
140,12,97,rw,HF,zeg,4.6872,0.488843537414966,373.3896823000396,374.3616929000127,z,0.972010599973146,1,32,male
141,12,10,rw,LF,sikkels,0.301,0.7240136054421769,375.905416900001,377.4502484000405,z,1.544831500039436,1,32,male
142,12,59,rw,HF,redden,3.8783,0.3632426303854875,378.9876967000309,380.0845198000316,z,1.09682310000062,1,32,male
143,12,152,nw,NW,grede,0.0,0.5429478458049887,381.6367275000084,382.7335989000276,z,1.096871400019154,0,32,male
144,12,171,nw,NW,glijp,0.0,0.5592063492063492,384.2856155000045,385.1911027000169,m,0.9054872000124304,1,32,male
145,12,85,rw,HF,zag,4.3048,0.4990476190476191,386.735239200003,387.8053701000172,z,1.070130900014192,1,32,male
146,12,54,rw,HF,baby,3.8221,0.4545578231292517,389.3507620000164,390.211933500017,z,0.861171500000637,1,32,male
147,12,42,rw,LF,lome,0.8451,0.4866893424036281,391.75010260002455,392.6886393000023,m,0.9385366999777034,0,32,male
148,12,193,nw,NW,nef,0.0,0.4258730158730158,394.2324933000491,395.13234820001526,z,0.899854899966158,0,32,male
149,12,78,rw,HF,open,4.1693,0.3699092970521542,396.6816471000202,397.7001971999998,z,1.0185500999796204,1,32,male
150,12,142,nw,NW,gardien,0.0,0.5500680272108843,399.2480190000497,400.1728032000247,z,0.9247841999749652,0,32,male
151,12,127,nw,NW,sluinen,0.0,0.6306575963718821,401.7131614000537,402.88743530004285,m,1.1742738999892026,1,32,male
152,12,153,nw,NW,entel,0.0,0.5228344671201814,404.4291621000157,405.5199010000215,m,1.0907389000058174,1,32,male
153,12,134,nw,NW,vrijk,0.0,0.6648299319727892,407.0615552000236,408.2896180000389,m,1.2280628000153229,1,32,male
154,12,38,rw,LF,sfinxen,0.7782,0.6166213151927438,409.8271814000327,410.8446135999984,z,1.0174321999656968,1,32,male
155,12,132,nw,NW,fradingo,0.0,0.7437868480725623,412.3930330000003,413.3605682000052,m,0.9675352000049317,1,32,male
156,12,144,nw,NW,ant,0.0,0.4819501133786848,414.9088448000257,416.2107949000201,m,1.3019500999944285,1,32,male
157,12,186,nw,NW,brad,0.0,0.4661451247165533,417.7577952000429,418.6547726000426,z,0.8969773999997415,0,32,male
158,12,176,nw,NW,kwarp,0.0,0.5111791383219955,420.2070408000145,421.65246860001935,m,1.4454278000048362,1,32,male
159,12,18,rw,LF,deun,0.6021,0.4665532879818594,423.1915800000425,424.6419804000179,z,1.4504003999754786,1,32,male
160,12,63,rw,HF,begin,3.9267,0.4794784580498866,426.1883347000112,426.9854308000067,m,0.7970960999955423,0,32,male
161,12,55,rw,HF,recht,3.8432,0.5463718820861678,428.5373433000059,429.5774616000126,z,1.040118300006725,1,32,male
162,12,37,rw,LF,rogge,0.7782,0.4180952380952381,431.1202432000428,432.2135433000512,m,1.0933001000084914,0,32,male
163,12,5,rw,LF,ponten,0.301,0.4158956916099773,433.7524840000551,435.116625100025,z,1.3641410999698564,1,32,male
164,12,121,nw,NW,nammer,0.0,0.3958503401360544,436.6688014000538,437.58713810000336,m,0.9183366999495776,1,32,male
165,12,61,rw,HF,los,3.9075,0.5018140589569161,439.1340947000426,440.02067550004,z,0.8865807999973185,1,32,male
166,12,122,nw,NW,bluit,0.0,0.7464399092970522,441.5665411000373,443.2627265000483,m,1.696185400011018,1,32,male
167,12,65,rw,HF,zoek,3.9398,0.4944671201814059,444.7986587000196,445.7284670000081,z,0.9298082999885082,1,32,male
168,12,133,nw,NW,gefruld,0.0,0.88281179138322,447.2646171000088,448.8059452000307,m,1.5413281000219283,1,32,male
169,12,188,nw,NW,klaam,0.0,0.4651700680272109,450.3472837000154,451.2205221000477,z,0.8732384000322782,0,32,male
170,12,58,rw,HF,heren,3.8659,0.4917006802721088,452.7629708000459,453.89817729999777,z,1.1352064999518916,1,32,male
171,12,91,rw,HF,hele,4.4246,0.4885714285714285,455.44520780001767,456.5244098000112,m,1.0792019999935292,0,32,male
172,12,1,rw,LF,buidels,0.301,0.7648752834467121,458.0611231000512,459.11470800003735,z,1.0535848999861628,1,32,male
173,12,163,nw,NW,plond,0.0,0.5671655328798186,460.6602140000323,461.7661160000134,m,1.1059019999811426,1,32,male
174,12,114,nw,NW,gesmalpt,0.0,0.8913605442176871,463.3092449000105,464.6322877000202,m,1.3230428000097163,1,32,male
175,12,69,rw,HF,sta,4.0123,0.4588888888888889,466.1753609000007,467.1762310000486,m,1.000870100047905,0,32,male
176,12,169,nw,NW,plin,0.0,0.3179818594104308,468.7239582000184,469.6037379000336,m,0.8797797000152059,1,32,male
177,12,156,nw,NW,loedsels,0.0,0.7686848072562358,471.1398931000149,472.3513223000336,m,1.211429200018756,1,32,male
178,12,123,nw,NW,kiemeten,0.0,0.6588888888888889,473.8889712000382,475.0175994000165,m,1.128628199978266,1,32,male
179,12,86,rw,HF,idee,4.3247,0.4575056689342404,476.5547134000226,477.3147246000008,z,0.7600111999781802,1,32,male
180,12,112,nw,NW,breent,0.0,0.6899546485260771,478.8539299000404,480.2367014000192,m,1.382771499978844,1,32,male
181,12,95,rw,HF,dood,4.6374,0.5565986394557824,481.7863364000223,482.7495359000168,z,0.9631994999945164,1,32,male
182,12,125,nw,NW,kabrieken,0.0,0.5446258503401361,484.285675799998,485.95247620000737,m,1.6668004000093788,1,32,male
